Vintage,Product Name,Producer,Country,Region,Colour,Quantity,Format,Price (GBP),Duty,Availability,Conditions,ImageUrl
1955,Martinez,Martinez,Portugal,Port,Red,1,Bts,341.00,IB,marketplace,,
1955,Martinez,Martinez,Portugal,Port,Red,1,Bts,341.00,DP,marketplace,,
1994,Martinez,Martinez,Portugal,Port,Red,4,Bts,53.00,IB,marketplace,,
2010,Finca Villacreces Pruno,Finca Villacreces,Spain,Ribera del Duero,Red,6,12x75cl,200.00,IB,immediate,,
1981,Gazin,Gazin,France,Bordeaux,Red,7,Bts,111.00,IB,marketplace,,
1985,Gazin,Gazin,France,Bordeaux,Red,2,Bts,78.00,IB,marketplace,,
1998,Gazin,Gazin,France,Bordeaux,Red,12,Bts,125.00,IB,marketplace,,
1998,Gazin,Gazin,France,Bordeaux,Red,1,6L,1027.00,IB,marketplace,,
2000,Gazin,Gazin,France,Bordeaux,Red,1,12x75cl,1524.00,IB,marketplace,,
2001,Gazin,Gazin,France,Bordeaux,Red,2,Bts,110.00,IB,marketplace,,
1994,La Dominique,La Dominique,France,Bordeaux,Red,2,Bts,45.00,IB,marketplace,,
1998,La Dominique,La Dominique,France,Bordeaux,Red,1,12x75cl,802.00,IB,marketplace,,
1999,La Dominique,La Dominique,France,Bordeaux,Red,7,Bts,64.00,IB,marketplace,,
2012,La Dominique,La Dominique,France,Bordeaux,Red,1,12x75cl,377.00,IB,marketplace,,
2012,La Dominique,La Dominique,France,Bordeaux,Red,1,6x75cl,190.00,IB,marketplace,,
1990,Veuve Clicquot la Grande Dame Rose,Veuve Clicquot,France,Champagne,Rose,1,Mags,691.00,IB,marketplace,,
1985,Howell Mountain Cabernet Sauvignon,Dunn Vineyards,United States,California,Red,8,Bts,292.00,IB,marketplace,,
1992,Howell Mountain Cabernet Sauvignon,Dunn Vineyards,United States,California,Red,3,Bts,343.00,IB,marketplace,,
1999,Howell Mountain Cabernet Sauvignon,Lokoya,United States,California,Red,3,Bts,323.00,IB,immediate,,
2007,Howell Mountain Cabernet Sauvignon,Lokoya,United States,California,Red,2,Bts,383.00,IB,marketplace,,
2009,Gevrey Chambertin Bel Air,Domaine Taupenot-Merme,France,Burgundy,Red,1,6x75cl,568.00,IB,immediate,,
2010,La Conseiller,Le Conseiller,France,Bordeaux,Red,1,12x75cl,199.00,IB,immediate,,
1995,Trebbiano d'Abruzzo,Edouardo Valentini,Italy,Central Italy,White,1,Bts,429.00,IB,marketplace,,
1996,Trebbiano d'Abruzzo,Edouardo Valentini,Italy,Central Italy,White,3,Bts,347.00,IB,marketplace,,
1997,Trebbiano d'Abruzzo,Edouardo Valentini,Italy,Central Italy,White,3,Bts,278.00,IB,marketplace,,
2000,Trebbiano d'Abruzzo,Edouardo Valentini,Italy,Central Italy,White,2,Bts,316.00,IB,marketplace,,
2009,Clos du Clocher,Clos du Clocher,France,Bordeaux,Red,1,6xMags,568.00,IB,marketplace,,
2009,Clos du Clocher,Clos du Clocher,France,Bordeaux,Red,1,Mags,97.00,IB,marketplace,,
2009,Bettina,Bryant Estate,United States,,Red,2,Bts,300.00,IB,marketplace,,
0,R. & L. Legras Blanc de Blancs,Legras,France,Champagne,White,5,12x75cl,360.00,IB,marketplace,,
1993,Brunello di Montalcino Ugolaia,Lisini,Italy,Central Italy,Red,1,Bts,243.00,IB,immediate,Label: Slightly Bin Soiled,
2004,Brunello di Montalcino Ugolaia,Lisini,Italy,Central Italy,Red,3,Bts,109.00,IB,marketplace,,
2009,Fugue de Nenin,Nenin,France,Bordeaux,Red,1,6x75cl,191.00,IB,marketplace,,
2010,Fugue de Nenin,Nenin,France,Bordeaux,Red,50,12x75cl,367.00,IB,marketplace,,
2010,Fugue de Nenin,Nenin,France,Bordeaux,Red,1,6xMags,367.00,IB,marketplace,,
2010,Fugue de Nenin,Nenin,France,Bordeaux,Red,5,Bts,34.00,IB,marketplace,,
2010,Fugue de Nenin,Nenin,France,Bordeaux,Red,1,Mags,64.00,IB,marketplace,,
2010,Fugue de Nenin,Nenin,France,Bordeaux,Red,3,3x75cl,94.00,IB,marketplace,,
2011,Fugue de Nenin,Nenin,France,Bordeaux,Red,1,2xMags,88.00,IB,marketplace,,
2011,Fugue de Nenin,Nenin,France,Bordeaux,Red,100,12x75cl,256.00,IB,marketplace,,
2011,Fugue de Nenin,Nenin,France,Bordeaux,Red,18,6x75cl,130.00,IB,marketplace,,
2012,Fugue de Nenin,Nenin,France,Bordeaux,Red,4,Bts,26.00,IB,marketplace,,
2007,Il Sigillo,Cantine del Notaio,Italy,Southern Italy & Sicily,Red,10,6x75cl,220.00,IB,immediate,,
2004,Barolo Sori Ginestra,Conterno Fantino,Italy,Northern Italy,Red,1,6x75cl,665.00,IB,marketplace,,
2007,Barolo Sori Ginestra,Conterno Fantino,Italy,Northern Italy,Red,3,Bts,81.00,IB,immediate,,
1995,Hermitage Le Chevalier de Sterimberg,Paul Jaboulet Aine,France,Rhone,White,20,Bts,59.00,IB,marketplace,,
1986,Hanteillan,Hanteillan,France,Bordeaux,Red,3,Bts,33.00,IB,marketplace,,
1988,Hanteillan,Hanteillan,France,Bordeaux,Red,7,Bts,30.00,IB,marketplace,,
1999,Kirwan,Kirwan,France,Bordeaux,Red,9,Bts,65.00,IB,marketplace,,
2000,Kirwan,Kirwan,France,Bordeaux,Red,5,Bts,78.00,IB,marketplace,,
2000,Kirwan,Kirwan,France,Bordeaux,Red,1,Mags,152.00,IB,marketplace,,
2001,Kirwan,Kirwan,France,Bordeaux,Red,1,Bts,68.00,IB,marketplace,,
2001,Kirwan,Kirwan,France,Bordeaux,Red,2,Bts,68.00,DP,marketplace,,
2001,Kirwan,Kirwan,France,Bordeaux,Red,6,6x75cl,389.00,IB,marketplace,,
2008,Kirwan,Kirwan,France,Bordeaux,Red,5,Bts,63.00,IB,marketplace,,
2012,Kirwan,Kirwan,France,Bordeaux,Red,2,6x75cl,249.00,IB,marketplace,,